"Année","value","iso2"
1981,1120815,"ZH"
1982,1123840,"ZH"
1983,1127659,"ZH"
1984,1124690,"ZH"
1985,1126848,"ZH"
1986,1128248,"ZH"
1987,1131484,"ZH"
1988,1136566,"ZH"
1989,1141494,"ZH"
1990,1144899,"ZH"
1991,1143249,"ZH"
1992,1151718,"ZH"
1993,1158077,"ZH"
1994,1162083,"ZH"
1995,1168567,"ZH"
1996,1175457,"ZH"
1997,1178848,"ZH"
1998,1181614,"ZH"
1999,1187609,"ZH"
2000,1198569,"ZH"
2001,1209672,"ZH"
2002,1226931,"ZH"
2003,1241312,"ZH"
2004,1249893,"ZH"
2005,1261810,"ZH"
2006,1272590,"ZH"
2007,1284052,"ZH"
2008,1307567,"ZH"
2009,1332727,"ZH"
2010,1351297,"ZH"
2011,1373068,"ZH"
2012,1392396,"ZH"
2013,1408575,"ZH"
2014,1425538,"ZH"
2015,1446354,"ZH"
1981,897296,"BE"
1982,900987,"BE"
1983,904420,"BE"
1984,906070,"BE"
1985,907551,"BE"
1986,908799,"BE"
1987,911266,"BE"
1988,914516,"BE"
1989,918201,"BE"
1990,922884,"BE"
1991,927497,"BE"
1992,934639,"BE"
1993,938052,"BE"
1994,941075,"BE"
1995,941673,"BE"
1996,941879,"BE"
1997,940928,"BE"
1998,938647,"BE"
1999,941144,"BE"
2000,943427,"BE"
2001,944024,"BE"
2002,946310,"BE"
2003,949590,"BE"
2004,951957,"BE"
2005,955378,"BE"
2006,957064,"BE"
2007,958897,"BE"
2008,962982,"BE"
2009,969299,"BE"
2010,974235,"BE"
2011,979802,"BE"
2012,985046,"BE"
2013,992617,"BE"
2014,1001281,"BE"
2015,1009418,"BE"
1981,294421,"LU"
1982,296378,"LU"
1983,298597,"LU"
1984,300237,"LU"
1985,302245,"LU"
1986,303901,"LU"
1987,306132,"LU"
1988,308741,"LU"
1989,311761,"LU"
1990,314837,"LU"
1991,321424,"LU"
1992,326283,"LU"
1993,331830,"LU"
1994,335385,"LU"
1995,337941,"LU"
1996,340536,"LU"
1997,341809,"LU"
1998,342916,"LU"
1999,343254,"LU"
2000,345357,"LU"
2001,346473,"LU"
2002,350017,"LU"
2003,351889,"LU"
2004,353175,"LU"
2005,354731,"LU"
2006,356384,"LU"
2007,359110,"LU"
2008,363475,"LU"
2009,368742,"LU"
2010,372964,"LU"
2011,377610,"LU"
2012,381966,"LU"
2013,386082,"LU"
2014,390349,"LU"
2015,394604,"LU"
1981,33523,"UR"
1982,33471,"UR"
1983,33595,"UR"
1984,33552,"UR"
1985,33589,"UR"
1986,33517,"UR"
1987,33456,"UR"
1988,33435,"UR"
1989,33544,"UR"
1990,33511,"UR"
1991,35029,"UR"
1992,35363,"UR"
1993,35544,"UR"
1994,35727,"UR"
1995,35933,"UR"
1996,35876,"UR"
1997,35861,"UR"
1998,35769,"UR"
1999,35612,"UR"
2000,35487,"UR"
2001,35190,"UR"
2002,34992,"UR"
2003,35209,"UR"
2004,35118,"UR"
2005,35083,"UR"
2006,35087,"UR"
2007,34948,"UR"
2008,34989,"UR"
2009,35162,"UR"
2010,35335,"UR"
